====== GPT-2 Fine-Tuning Log ======

Step	Epoch	Metrics
1530	1.0316925151719487	{'loss': 3.0888, 'grad_norm': 9.403018951416016, 'learning_rate': 7.937963587322994e-06, 'epoch': 1.0316925151719487}
1540	1.038435603506406	{'loss': 3.0259, 'grad_norm': 7.588467597961426, 'learning_rate': 7.92447741065408e-06, 'epoch': 1.038435603506406}
1550	1.0451786918408632	{'loss': 3.0543, 'grad_norm': 10.830977439880371, 'learning_rate': 7.910991233985165e-06, 'epoch': 1.0451786918408632}
1560	1.0519217801753202	{'loss': 3.0722, 'grad_norm': 7.010306358337402, 'learning_rate': 7.897505057316252e-06, 'epoch': 1.0519217801753202}
1570	1.0586648685097775	{'loss': 2.9089, 'grad_norm': 8.776413917541504, 'learning_rate': 7.884018880647337e-06, 'epoch': 1.0586648685097775}
1580	1.0654079568442347	{'loss': 3.0299, 'grad_norm': 9.583072662353516, 'learning_rate': 7.870532703978423e-06, 'epoch': 1.0654079568442347}
1590	1.0721510451786918	{'loss': 2.9742, 'grad_norm': 9.46331787109375, 'learning_rate': 7.85704652730951e-06, 'epoch': 1.0721510451786918}
1600	1.078894133513149	{'loss': 2.914, 'grad_norm': 8.615946769714355, 'learning_rate': 7.843560350640594e-06, 'epoch': 1.078894133513149}
1610	1.0856372218476062	{'loss': 2.9148, 'grad_norm': 8.614129066467285, 'learning_rate': 7.83007417397168e-06, 'epoch': 1.0856372218476062}
1620	1.0923803101820635	{'loss': 2.7881, 'grad_norm': 8.819382667541504, 'learning_rate': 7.816587997302765e-06, 'epoch': 1.0923803101820635}
1630	1.0991233985165205	{'loss': 2.9373, 'grad_norm': 9.465372085571289, 'learning_rate': 7.80310182063385e-06, 'epoch': 1.0991233985165205}
1640	1.1058664868509778	{'loss': 2.9314, 'grad_norm': 8.631122589111328, 'learning_rate': 7.789615643964937e-06, 'epoch': 1.1058664868509778}
1650	1.112609575185435	{'loss': 2.9825, 'grad_norm': 8.065339088439941, 'learning_rate': 7.776129467296021e-06, 'epoch': 1.112609575185435}
1660	1.119352663519892	{'loss': 2.8866, 'grad_norm': 8.28000259399414, 'learning_rate': 7.762643290627108e-06, 'epoch': 1.119352663519892}
1670	1.1260957518543493	{'loss': 3.2691, 'grad_norm': 9.404717445373535, 'learning_rate': 7.749157113958194e-06, 'epoch': 1.1260957518543493}
1680	1.1328388401888065	{'loss': 2.998, 'grad_norm': 8.07523250579834, 'learning_rate': 7.735670937289279e-06, 'epoch': 1.1328388401888065}
1690	1.1395819285232636	{'loss': 2.9084, 'grad_norm': 11.251167297363281, 'learning_rate': 7.722184760620365e-06, 'epoch': 1.1395819285232636}
1700	1.1463250168577208	{'loss': 2.8768, 'grad_norm': 9.56775951385498, 'learning_rate': 7.70869858395145e-06, 'epoch': 1.1463250168577208}
1710	1.153068105192178	{'loss': 3.0446, 'grad_norm': 10.183124542236328, 'learning_rate': 7.695212407282537e-06, 'epoch': 1.153068105192178}
1720	1.159811193526635	{'loss': 3.0851, 'grad_norm': 10.269569396972656, 'learning_rate': 7.681726230613621e-06, 'epoch': 1.159811193526635}
1730	1.1665542818610923	{'loss': 2.9147, 'grad_norm': 8.162123680114746, 'learning_rate': 7.668240053944708e-06, 'epoch': 1.1665542818610923}
1740	1.1732973701955496	{'loss': 3.064, 'grad_norm': 8.263585090637207, 'learning_rate': 7.654753877275794e-06, 'epoch': 1.1732973701955496}
1750	1.1800404585300068	{'loss': 3.0058, 'grad_norm': 7.52284049987793, 'learning_rate': 7.641267700606877e-06, 'epoch': 1.1800404585300068}
1760	1.1867835468644639	{'loss': 2.9009, 'grad_norm': 8.054058074951172, 'learning_rate': 7.627781523937964e-06, 'epoch': 1.1867835468644639}
1770	1.193526635198921	{'loss': 2.7869, 'grad_norm': 11.019319534301758, 'learning_rate': 7.614295347269049e-06, 'epoch': 1.193526635198921}
1780	1.2002697235333784	{'loss': 2.9996, 'grad_norm': 9.266555786132812, 'learning_rate': 7.600809170600135e-06, 'epoch': 1.2002697235333784}
1790	1.2070128118678354	{'loss': 3.09, 'grad_norm': 10.448185920715332, 'learning_rate': 7.587322993931221e-06, 'epoch': 1.2070128118678354}
1800	1.2137559002022926	{'loss': 3.0237, 'grad_norm': 8.982850074768066, 'learning_rate': 7.573836817262307e-06, 'epoch': 1.2137559002022926}
1810	1.2204989885367499	{'loss': 2.8902, 'grad_norm': 8.504369735717773, 'learning_rate': 7.5603506405933925e-06, 'epoch': 1.2204989885367499}
